RA;QUANTIDADE
PLANO PILOTO;15152
CEILÂNDIA;14968
SAMAMBAIA;9008
TAGUATINGA;7041
GAMA;5698
SANTA MARIA;5260
RECANTO DAS EMAS;5157
PLANALTINA;4170
SOBRADINHO;3998
GUARÁ;2739
PARANOÁ;2216
SÃO SEBASTIÃO;2213
RIACHO FUNDO II;2190
NÃO INFORMADO / INVÁLIDO;1816
BRAZLÂNDIA;1627
RIACHO FUNDO;1467
ÁGUAS CLARAS;957
CANDANGOLÂNDIA;790
NÚCLEO BANDEIRANTE;681
ITAPOÃ;495
CRUZEIRO;486
SOBRADINHO II;455
SCIA/ESTRUTURAL;394
VICENTE PIRES;249
VARJÃO;217
LAGO NORTE;169
LAGO SUL;141
OUTROS;129
PARK WAY;118
SUDOESTE/OCTOGONAL;96
JARDIM BOTÂNICO;77
FERCAL;37
ARAPOANGA;34
ÁGUAS LINDAS DE GOIÁS (ENTORNO);34
SOL NASCENTE/PÔR DO SOL;28
VALPARAÍSO DE GOIÁS (ENTORNO);22
ARNIQUEIRA;11
OUTROS ESTADOS;11
NOVO GAMA (ENTORNO);9
CIDADE OCIDENTAL (ENTORNO);7
SANTO ANTÔNIO DO DESCOBERTO (ENTORNO);6
LUZIÂNIA (ENTORNO);6
SIA;5
ÁGUA QUENTE;5
FORMOSA (ENTORNO);3
FORMOSO (ENTORNO);1
