RA;QUANTIDADE
PLANO PILOTO;2800
CEILÂNDIA;2214
TAGUATINGA;1425
SAMAMBAIA;1248
GAMA;1016
SOBRADINHO;796
GUARÁ;760
RECANTO DAS EMAS;693
SANTA MARIA;686
PLANALTINA;518
SÃO SEBASTIÃO;376
PARANOÁ;299
RIACHO FUNDO II;284
RIACHO FUNDO;277
ÁGUAS CLARAS;261
BRAZLÂNDIA;233
CRUZEIRO;185
NÚCLEO BANDEIRANTE;144
CANDANGOLÂNDIA;125
SOBRADINHO II;75
LAGO SUL;68
VICENTE PIRES;62
ITAPOÃ;61
LAGO NORTE;48
SUDOESTE/OCTOGONAL;48
SCIA/ESTRUTURAL;36
JARDIM BOTÂNICO;27
PARK WAY;16
VARJÃO;14
SOL NASCENTE/PÔR DO SOL;4
FERCAL;3
SIA;3
ARAPOANGA;2
ARNIQUEIRA;2
VALPARAÍSO DE GOIÁS (ENTORNO);7
LUZIÂNIA (ENTORNO);3
ÁGUAS LINDAS DE GOIÁS (ENTORNO);2
NOVO GAMA (ENTORNO);1
NÃO INFORMADO / INVÁLIDO;105
OUTROS;14
OUTROS ESTADOS;2
