RA;QUANTIDADE
CEILÂNDIA;14299
PLANO PILOTO;13100
SAMAMBAIA;8662
TAGUATINGA;6719
GAMA;5342
RECANTO DAS EMAS;5021
SANTA MARIA;4989
PLANALTINA;4020
SOBRADINHO;3823
GUARÁ;2534
PARANOÁ;2150
SÃO SEBASTIÃO;2053
RIACHO FUNDO II;2047
BRAZLÂNDIA;1560
RIACHO FUNDO;1403
ÁGUAS CLARAS;868
CANDANGOLÂNDIA;759
NÚCLEO BANDEIRANTE;655
ITAPOÃ;484
CRUZEIRO;464
SOBRADINHO II;433
SCIA/ESTRUTURAL;380
VICENTE PIRES;233
VARJÃO;214
LAGO NORTE;159
LAGO SUL;128
PARK WAY;107
SUDOESTE/OCTOGONAL;85
JARDIM BOTÂNICO;56
ARAPOANGA;34
FERCAL;34
SOL NASCENTE/PÔR DO SOL;28
ARNIQUEIRA;11
SIA;5
ÁGUA QUENTE;5
ÁGUAS LINDAS DE GOIÁS (ENTORNO);29
VALPARAÍSO DE GOIÁS (ENTORNO);17
CIDADE OCIDENTAL (ENTORNO);6
LUZIÂNIA (ENTORNO);6
NOVO GAMA (ENTORNO);6
SANTO ANTÔNIO DO DESCOBERTO (ENTORNO);5
FORMOSA (ENTORNO);1
FORMOSO (ENTORNO);1
NÃO INFORMADO / INVÁLIDO;757
OUTROS;116
OUTROS ESTADOS;16
