RA;QUANTIDADE
PLANO PILOTO;3477
CEILÂNDIA;2547
TAGUATINGA;1633
SAMAMBAIA;1442
GAMA;1173
GUARÁ;903
SOBRADINHO;876
RECANTO DAS EMAS;805
SANTA MARIA;771
PLANALTINA;595
SÃO SEBASTIÃO;460
PARANOÁ;331
RIACHO FUNDO II;322
ÁGUAS CLARAS;321
RIACHO FUNDO;314
BRAZLÂNDIA;267
CRUZEIRO;208
NÚCLEO BANDEIRANTE;166
NÃO INFORMADO / INVÁLIDO;153
CANDANGOLÂNDIA;150
SOBRADINHO II;86
LAGO SUL;78
VICENTE PIRES;78
ITAPOÃ;64
LAGO NORTE;58
SUDOESTE/OCTOGONAL;56
JARDIM BOTÂNICO;43
SCIA/ESTRUTURAL;40
VARJÃO;23
OUTROS;17
PARK WAY;16
VALPARAÍSO DE GOIÁS (ENTORNO);10
ÁGUAS LINDAS DE GOIÁS (ENTORNO);5
SOL NASCENTE/PÔR DO SOL;4
LUZIÂNIA (ENTORNO);4
SIA;3
FERCAL;3
ARAPOANGA;3
ARNIQUEIRA;2
OUTROS ESTADOS;1
NOVO GAMA (ENTORNO);1
CIDADE OCIDENTAL (ENTORNO);1
