RA;QUANTIDADE
PLANO PILOTO;946
CEILÂNDIA;404
SAMAMBAIA;262
TAGUATINGA;261
GAMA;178
GUARÁ;174
RECANTO DAS EMAS;147
SÃO SEBASTIÃO;128
SANTA MARIA;101
SOBRADINHO;91
PLANALTINA;85
ÁGUAS CLARAS;78
RIACHO FUNDO II;78
NÃO INFORMADO / INVÁLIDO;66
RIACHO FUNDO;50
BRAZLÂNDIA;37
PARANOÁ;36
NÚCLEO BANDEIRANTE;30
CRUZEIRO;29
CANDANGOLÂNDIA;27
JARDIM BOTÂNICO;23
LAGO SUL;18
VICENTE PIRES;18
LAGO NORTE;14
SOBRADINHO II;14
VARJÃO;9
SUDOESTE/OCTOGONAL;8
ÁGUAS LINDAS DE GOIÁS (ENTORNO);4
SCIA/ESTRUTURAL;4
OUTROS;4
VALPARAÍSO DE GOIÁS (ENTORNO);3
ITAPOÃ;3
LUZIÂNIA (ENTORNO);1
CIDADE OCIDENTAL (ENTORNO);1
ARAPOANGA;1
