RA;QUANTIDADE
PLANO PILOTO;2739
CEILÂNDIA;1186
NÃO INFORMADO / INVÁLIDO;1107
SAMAMBAIA;818
TAGUATINGA;677
GAMA;461
RECANTO DAS EMAS;452
SANTA MARIA;379
RIACHO FUNDO II;348
GUARÁ;326
SÃO SEBASTIÃO;240
PLANALTINA;202
SOBRADINHO;198
ÁGUAS CLARAS;146
RIACHO FUNDO;139
BRAZLÂNDIA;81
PARANOÁ;75
CANDANGOLÂNDIA;65
NÚCLEO BANDEIRANTE;60
CRUZEIRO;39
JARDIM BOTÂNICO;37
SOBRADINHO II;27
LAGO SUL;25
VICENTE PIRES;24
SCIA/ESTRUTURAL;21
OUTROS;17
PARK WAY;16
SUDOESTE/OCTOGONAL;15
ITAPOÃ;15
LAGO NORTE;11
VARJÃO;6
VALPARAÍSO DE GOIÁS (ENTORNO);5
ÁGUAS LINDAS DE GOIÁS (ENTORNO);5
OUTROS ESTADOS;5
NOVO GAMA (ENTORNO);3
FERCAL;3
SOL NASCENTE/PÔR DO SOL;2
FORMOSA (ENTORNO);2
SANTO ANTÔNIO DO DESCOBERTO (ENTORNO);1
ÁGUA QUENTE;1
CIDADE OCIDENTAL (ENTORNO);1
ARNIQUEIRA;1
