RA;QUANTIDADE
PLANO PILOTO;451
SÃO SEBASTIÃO;75
TAGUATINGA;54
GUARÁ;40
CEILÂNDIA;39
SAMAMBAIA;37
JARDIM BOTÂNICO;26
SOBRADINHO;22
RIACHO FUNDO II;18
ÁGUAS CLARAS;18
CRUZEIRO;17
RECANTO DAS EMAS;16
LAGO SUL;13
GAMA;12
PLANALTINA;12
RIACHO FUNDO;12
CANDANGOLÂNDIA;9
SANTA MARIA;9
LAGO NORTE;7
NÚCLEO BANDEIRANTE;5
BRAZLÂNDIA;4
VICENTE PIRES;4
PARANOÁ;3
PARK WAY;2
VARJÃO;2
ITAPOÃ;1
SOBRADINHO II;1
SUDOESTE/OCTOGONAL;1
LUZIÂNIA (ENTORNO);1
NÃO INFORMADO / INVÁLIDO;30
