RA;QUANTIDADE
PLANO PILOTO;431
SÃO SEBASTIÃO;62
GUARÁ;27
CEILÂNDIA;26
ÁGUAS CLARAS;24
JARDIM BOTÂNICO;23
TAGUATINGA;23
SOBRADINHO;19
GAMA;15
SAMAMBAIA;14
PLANALTINA;12
LAGO SUL;11
CRUZEIRO;10
SANTA MARIA;7
SUDOESTE/OCTOGONAL;7
LAGO NORTE;6
RECANTO DAS EMAS;6
CANDANGOLÂNDIA;5
PARANOÁ;5
VICENTE PIRES;5
RIACHO FUNDO;4
ARNIQUEIRA;2
PARK WAY;2
ARAPOANGA;1
BRAZLÂNDIA;1
NÚCLEO BANDEIRANTE;1
RIACHO FUNDO II;1
NÃO INFORMADO / INVÁLIDO;40
OUTROS;1
