RA;QUANTIDADE
PLANO PILOTO;269
CEILÂNDIA;71
SAMAMBAIA;68
TAGUATINGA;53
SÃO SEBASTIÃO;44
RIACHO FUNDO II;40
RECANTO DAS EMAS;35
GUARÁ;32
GAMA;21
ÁGUAS CLARAS;18
SANTA MARIA;16
RIACHO FUNDO;13
SOBRADINHO;11
LAGO SUL;8
NÚCLEO BANDEIRANTE;8
PLANALTINA;8
JARDIM BOTÂNICO;7
CRUZEIRO;6
LAGO NORTE;4
PARANOÁ;4
BRAZLÂNDIA;3
SOBRADINHO II;3
CANDANGOLÂNDIA;2
VICENTE PIRES;2
ÁGUAS LINDAS DE GOIÁS (ENTORNO);1
NÃO INFORMADO / INVÁLIDO;18
OUTROS ESTADOS;1
