RA;QUANTIDADE
PLANO PILOTO;2531
CEILÂNDIA;2143
TAGUATINGA;1372
SAMAMBAIA;1180
GAMA;995
SOBRADINHO;785
GUARÁ;728
SANTA MARIA;670
RECANTO DAS EMAS;658
PLANALTINA;510
SÃO SEBASTIÃO;332
PARANOÁ;295
RIACHO FUNDO;264
RIACHO FUNDO II;244
ÁGUAS CLARAS;243
BRAZLÂNDIA;230
CRUZEIRO;179
NÚCLEO BANDEIRANTE;136
CANDANGOLÂNDIA;123
SOBRADINHO II;72
ITAPOÃ;61
LAGO SUL;60
VICENTE PIRES;60
SUDOESTE/OCTOGONAL;48
LAGO NORTE;44
SCIA/ESTRUTURAL;36
JARDIM BOTÂNICO;20
PARK WAY;16
VARJÃO;14
SOL NASCENTE/PÔR DO SOL;4
FERCAL;3
SIA;3
ARAPOANGA;2
ARNIQUEIRA;2
VALPARAÍSO DE GOIÁS (ENTORNO);7
LUZIÂNIA (ENTORNO);3
NOVO GAMA (ENTORNO);1
ÁGUAS LINDAS DE GOIÁS (ENTORNO);1
NÃO INFORMADO / INVÁLIDO;87
OUTROS;14
OUTROS ESTADOS;1
