RA;QUANTIDADE
PLANO PILOTO;1881
CEILÂNDIA;1180
TAGUATINGA;1088
GAMA;673
GUARÁ;651
SOBRADINHO;650
SAMAMBAIA;568
PLANALTINA;331
SANTA MARIA;312
RECANTO DAS EMAS;307
ÁGUAS CLARAS;294
CRUZEIRO;199
SÃO SEBASTIÃO;174
RIACHO FUNDO;166
BRAZLÂNDIA;157
PARANOÁ;136
RIACHO FUNDO II;135
NÚCLEO BANDEIRANTE;107
CANDANGOLÂNDIA;83
LAGO SUL;76
VICENTE PIRES;68
SUDOESTE/OCTOGONAL;56
SOBRADINHO II;50
LAGO NORTE;48
PARK WAY;30
JARDIM BOTÂNICO;20
ITAPOÃ;13
SCIA/ESTRUTURAL;13
VARJÃO;11
FERCAL;6
ARAPOANGA;3
ARNIQUEIRA;2
VALPARAÍSO DE GOIÁS (ENTORNO);2
LUZIÂNIA (ENTORNO);1
ÁGUAS LINDAS DE GOIÁS (ENTORNO);1
NÃO INFORMADO / INVÁLIDO;54
OUTROS;3
