RA;QUANTIDADE
PLANO PILOTO;289
CEILÂNDIA;64
SOBRADINHO;59
TAGUATINGA;59
GAMA;48
GUARÁ;47
SAMAMBAIA;42
ÁGUAS CLARAS;23
PLANALTINA;19
RECANTO DAS EMAS;18
SANTA MARIA;16
CRUZEIRO;15
SÃO SEBASTIÃO;14
BRAZLÂNDIA;13
RIACHO FUNDO II;13
LAGO SUL;10
PARANOÁ;9
NÚCLEO BANDEIRANTE;8
VICENTE PIRES;8
CANDANGOLÂNDIA;7
RIACHO FUNDO;7
LAGO NORTE;6
JARDIM BOTÂNICO;5
PARK WAY;4
ITAPOÃ;3
SCIA/ESTRUTURAL;3
SOBRADINHO II;3
SUDOESTE/OCTOGONAL;3
VARJÃO;1
VALPARAÍSO DE GOIÁS(ENTORNO);1
