RA;QUANTIDADE
PLANO PILOTO;17
CEILÂNDIA;4
SAMAMBAIA;3
SOBRADINHO;3
SANTA MARIA;2
CRUZEIRO;1
GAMA;1
ITAPOÃ;1
JARDIM BOTÂNICO;1
PARANOÁ;1
PLANALTINA;1
RECANTO DAS EMAS;1
RIACHO FUNDO;1
RIACHO FUNDO II;1
SÃO SEBASTIÃO;1
TAGUATINGA;1
ÁGUAS CLARAS;1
